#QM    interpInQMgrid400k    MM
-2.885277 -2.902143 -0.769889
-1.072076 -0.951927 -0.705846
-0.091951 -0.154903 -0.021766
-0.062058 -0.092390 0.072359
0.200898 0.044288 0.138963
0.326677 0.173285 0.112422
0.643642 0.382418 0.279436
0.201666 0.085681 0.016055
0.472307 0.446617 0.292643
-0.428775 -0.466703 -0.326974
0.208633 0.346129 0.161103
0.613399 0.554508 0.591016
0.663527 0.767223 -0.174071
-0.779429 -0.871733 -0.574844
-0.248010 -0.191340 -0.111520
0.060913 0.042941 -0.003690
-0.050714 0.024589 -0.063861
-0.350128 -0.231912 0.032591
-0.313711 -0.333672 -0.339979
-2.000191 -1.896293 -0.872851
-0.133439 -0.199385 -0.146544
-0.290858 -0.390874 -0.288878
0.440410 0.463529 0.104710
2.261879 2.231981 0.442247
3.598744 3.750690 0.829411
2.555337 2.655279 1.025798
0.123496 0.146158 -0.083492
0.089474 0.096667 -0.018063
0.437668 0.428466 0.247387
-6.004427 -6.824648 -1.580775
-0.029283 -0.692360 -0.093740
-3.025236 -2.995474 -0.337626
0.123924 0.102033 0.141095
-0.261860 -0.311505 0.020088
0.708124 0.567883 0.379346
-1.965858 -1.628451 -0.711627
0.198053 0.223892 -0.039763
-0.150931 0.105893 0.185375
-0.306545 -0.276987 -0.163353
-0.120727 -0.039972 -0.093076
0.136126 0.070383 0.103612
0.422638 0.413430 0.168180
0.223845 0.153523 0.073553
0.212906 0.209896 0.015321
0.195333 0.145539 0.080332
0.022717 0.029562 0.021492
-0.044573 -0.012751 -0.017910
-3.472527 -3.062924 -1.404504
-3.560465 -3.395125 -0.960885
-1.774479 -1.408647 -0.207433
0.249029 0.212342 0.124885
-0.054338 -0.024453 -0.011998
-0.107409 -0.092038 -0.042332
0.249959 0.236326 -0.165254
-0.840959 -0.875831 -0.562363
0.976518 1.017580 0.489135
0.024602 0.051201 0.114546
-0.173019 -0.046312 -0.090722
0.061771 0.082593 -0.041133
0.123443 0.092859 0.065972
0.087029 0.014861 0.027612
0.230535 0.222632 0.137688
-0.220695 -0.172951 -0.089853
0.202955 0.252154 0.229912
0.512300 0.462248 0.238863
0.658889 0.449429 0.068420
0.873355 0.778208 0.509316
-0.707830 -0.723707 -0.595254
-0.455657 -0.432026 -0.280846
-0.753500 -0.673723 -0.407417
1.747629 1.336220 0.593116
-0.048859 -0.033081 -0.035966
-0.175047 -0.144288 -0.102534
0.104018 0.080072 0.046256
3.354394 3.391583 1.310626
3.809307 3.799665 1.501977
-4.160624 -4.160554 -1.066714
0.096666 0.064455 0.362484
-0.804706 -0.778035 -0.493670
-1.926076 -1.946517 -0.703112
-0.287100 -0.193183 -0.691740
1.680730 1.786784 -0.059872
-0.408055 -0.486816 -0.692032
-7.643263 -7.507063 -1.172972
0.238633 0.134541 0.071087
7.915300 7.671061 -1.304881
-0.250987 -0.111975 -0.008526
-0.115058 -0.123056 -0.073412
-0.141888 -0.129905 -0.059937
-1.176319 -1.009573 0.046870
0.177993 0.357649 0.218530
-1.793907 -1.606821 -2.004589
1.344569 1.130297 0.232130
0.178761 0.119952 -0.028985
-1.409757 -1.308614 -0.440949
-0.037253 -0.054749 -0.004942
0.232983 0.201787 0.133219
0.107388 0.129180 0.064187
-0.069393 -0.062874 -0.078444
0.211978 0.065930 0.093537
0.065233 -0.075175 0.042895
-0.062423 -0.032110 0.018689
-0.082617 -0.054571 -0.024074
-0.037398 -0.052353 -0.014002
-7.736650 -7.727057 -2.325733
5.170130 5.160749 1.135969
2.062229 2.068598 1.101209
0.130157 0.147685 -0.111427
-0.493538 -0.477578 -0.542216
1.537878 1.520866 0.553642
0.457442 0.402405 0.126123
0.408943 0.424984 0.175773
0.248623 0.207104 0.318964
0.401119 0.347500 0.277267
0.275085 0.318047 0.186901
-0.189807 -0.285099 -0.058357
16.305151 16.738907 0.896336
-0.739415 -0.816264 -1.447653
-35.540100 -34.532301 -2.023076
0.108046 0.089381 0.059731
0.088997 0.162969 0.067180
0.168755 0.090708 0.018545
0.112668 0.185882 0.117940
0.035897 0.096398 -0.110038
0.358260 0.182361 0.030399
0.020153 0.133848 0.015802
