#QM    interpInQMgrid400k    MM
-1.990853 -18.951869 -1.182241
-3.177113 30.397466 -1.527481
1.979908 -57.622355 0.564654
-0.477826 22.238968 -0.173424
-0.036893 14.198383 0.017655
-0.377992 4.212137 -0.169652
-0.846703 -2.235068 -0.506054
0.212735 25.554564 0.067617
-0.873942 20.082947 -0.373326
-0.023677 -12.212915 0.011356
0.161272 -37.764185 0.135961
0.245862 17.228893 0.311364
-3.100732 -9.112445 -1.767377
2.007224 -62.935084 1.056403
0.809776 12.706003 -0.511328
-0.161891 16.327504 0.016444
-0.497674 7.982536 -0.234283
-0.293824 -12.710756 -0.125569
0.220979 2.276462 -0.047344
2.386823 53.947339 0.803592
-0.515550 -37.844363 -0.484402
0.427911 nan 0.499353
0.443796 nan -0.011138
1.808862 nan 0.919611
-0.781796 6.416098 -0.857819
1.482529 40.152957 0.965787
-3.060053 -50.928768 -1.064216
0.806633 24.700287 0.380256
-1.293888 -23.297481 -0.600245
-0.284642 11.482491 0.077389
-0.615002 44.827298 -0.299208
1.236127 -34.406172 0.005115
-1.392485 22.076998 -0.384284
0.737174 16.300976 0.075008
0.151518 21.803311 0.154770
0.388511 32.993127 0.134759
-0.210651 36.051116 -0.370035
1.628144 36.001707 1.029267
-1.232958 11.663970 -0.337832
0.039788 25.340485 0.058494
0.135367 2.713528 0.057914
0.519654 1.609219 0.189007
-0.169446 -4.408517 -0.110933
0.240534 -9.661562 0.128517
-0.663055 -27.792668 -0.362268
-0.068353 -7.403440 -0.029356
0.172850 -1.765977 0.075839
0.017134 3.006589 0.044354
-2.705495 -22.982400 -0.492455
-1.264151 -55.331254 -0.188532
6.194249 41.471430 2.349796
0.421170 4.308366 0.232307
-0.021971 23.786336 0.020171
0.339022 -14.932155 0.126285
-0.074203 -20.353156 -0.275698
0.384641 35.189185 0.543599
-2.258792 42.256198 -0.768109
0.105368 4.396172 0.007397
0.009724 -15.293929 0.075031
0.504315 -16.450649 0.193384
-0.819666 15.422493 -0.437978
-0.218924 -12.865486 -0.144280
0.283925 4.787474 0.166761
-1.147474 -6.496581 -0.465665
0.264514 -5.196877 0.194557
-0.482357 -36.627218 -0.255488
-0.321990 -11.392117 0.101993
1.858044 44.156033 1.326654
2.284201 -43.659891 1.054293
-0.488228 15.357420 0.059517
-0.179907 -21.566290 -0.210580
-0.290134 36.818884 -0.296122
-0.182979 1.986501 -0.072046
0.355511 -2.044464 0.133992
0.415867 -13.002280 0.236734
2.027804 -45.425637 0.093476
0.465225 -43.336422 0.235265
-0.097967 -26.855391 -0.154514
-1.699185 -43.614633 -0.687814
-1.052732 2.443874 -0.145382
0.073268 49.453779 -0.064153
0.172453 -19.712537 0.183056
-0.034744 -54.295326 0.252767
-0.547121 -14.186301 -0.421893
1.322372 -60.742442 0.957928
3.421766 36.266500 1.089560
-2.177369 39.140943 -1.171273
-0.659537 2.759395 -0.354699
-0.226150 -20.196640 -0.118418
0.502444 14.597638 0.151944
-0.494377 65.045911 0.160234
1.059061 43.574363 1.171049
-0.604069 -2.880042 -0.132345
0.768354 -21.748430 0.403006
0.143371 -2.165978 0.315511
-0.650409 44.972874 -0.554772
-0.264098 -6.596236 -0.185747
0.179671 -12.239109 0.117226
-0.163112 -16.111943 -0.091841
-0.311016 -8.617075 -0.148010
-0.330920 20.642581 -0.240566
-0.568087 -15.805257 -0.233723
-0.406131 -11.403287 -0.185360
-0.076550 -7.194824 -0.100449
-0.061289 -4.435101 -0.077790
-1.174569 9.941685 -0.860888
-1.937800 34.282877 -0.851875
1.240914 59.383273 -0.264897
0.551813 -16.171981 0.207312
-1.540260 -51.734174 -0.462792
-0.127191 14.115353 -0.351834
-0.337030 3.234700 -0.162921
-0.699351 9.576158 -0.437374
0.387417 41.391142 0.227461
0.174204 5.997302 0.147332
-0.714954 -3.453705 -0.373773
-0.354046 -36.689862 -0.325149
-6.302832 -3.231528 -0.368179
11.266231 78.771039 2.289479
-5.519721 -25.637095 -1.011238
-0.583146 3.247017 -0.201507
0.332035 5.212618 0.192658
0.154051 12.501107 0.070578
0.374085 7.905420 0.197594
0.332946 -4.386198 0.212032
